sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
 43.00  6.1028e-02  1.4487e-02  2.2591e-02    0.090986  4.3434e-02  3.0297e-02   0.0563805  0.2178421   0.0672010   0.0726053  2.4387e-03  0.00501596  3.6423e-03  3.3392e-02  7.7926e-03  5.5590e-03  1.1810e-03  0.0000e+00   0.000000   0.000000
 44.00  5.7317e-02  1.3338e-02  2.0800e-02    0.086550  4.0718e-02  2.7787e-02   0.0533361  0.2092338   0.0636269   0.0686946  1.9007e-03  0.00460140  3.5165e-03  3.1361e-02  7.1935e-03  5.1302e-03  1.5325e-03  9.7768e-18   0.000000   0.000000
 45.00  5.3848e-02  1.2323e-02  1.9147e-02    0.082412  3.8276e-02  2.5515e-02   0.0662673  0.2008641   0.0602663   0.0650288  1.5285e-03  0.00420279  3.3354e-03  2.9333e-02  6.4483e-03  4.6676e-03  3.0851e-03  2.9330e-17   0.000000   0.000000
 46.00  5.1093e-02  1.1459e-02  1.7779e-02    0.079176  3.5907e-02  2.3608e-02   0.0815422  0.1925223   0.0571619   0.0616741  1.9842e-03  0.00380579  3.2492e-03  2.7287e-02  5.8889e-03  4.1584e-03  5.6137e-03  9.7768e-18   0.000000   0.000000
 47.00  4.8889e-02  1.0677e-02  1.6468e-02    0.076199  3.3535e-02  2.1904e-02   0.0848221  0.1842961   0.0542039   0.0584714  2.7111e-03  0.00342793  3.1461e-03  2.4806e-02  5.3974e-03  3.6711e-03  5.7406e-03  0.0000e+00   0.000000   0.000000
 48.00  4.7029e-02  9.9775e-03  1.5216e-02    0.073622  3.1159e-02  2.0403e-02   0.0738780  0.1761855   0.0513924   0.0554208  3.7394e-03  0.00306918  3.0260e-03  2.2164e-02  4.9740e-03  3.2056e-03  5.0342e-03  0.0000e+00   0.000000   0.000000
 49.00  4.5309e-02  9.3464e-03  1.4087e-02    0.071191  2.9159e-02  1.9168e-02   0.0544662  0.1682842   0.0488774   0.0526532  4.7983e-03  0.00272924  2.7835e-03  1.9718e-02  4.9193e-03  2.9701e-03  3.2309e-03  0.0000e+00   0.000000   0.000000
 50.00  4.3039e-02  8.7356e-03  1.3063e-02    0.068123  2.7305e-02  1.7902e-02   0.0378250  0.1605162   0.0464533   0.0500077  4.7566e-03  0.00245645  2.5676e-03  1.8087e-02  4.8500e-03  2.7406e-03  1.9102e-03  0.0000e+00   0.000000   0.000000
 51.00  4.0634e-02  8.1453e-03  1.2143e-02    0.065077  2.5596e-02  1.6607e-02   0.0324032  0.1528814   0.0441201   0.0474841  4.3147e-03  0.00225082  2.3782e-03  1.7383e-02  4.7661e-03  2.5168e-03  2.8911e-03  0.0000e+00   0.000000   0.000000
 52.00  3.8034e-02  7.5890e-03  1.1332e-02    0.062077  2.3913e-02  1.5396e-02   0.0367933  0.1455544   0.0420189   0.0451743  3.4501e-03  0.00215716  2.2082e-03  1.7127e-02  4.6453e-03  2.4698e-03  3.9393e-03  0.0000e+00   0.000000   0.000000
